;Percussive Organ
R 0 11712
Bb4 15 190
R 0 2
A4 15 190
R 0 194
A4 15 190
R 0 2
Ab4 15 190
R 0 194
Ab4 15 190
R 0 2
G4 15 190
R 0 2498
Bb4 15 190
R 0 2
A4 15 190
R 0 194
A4 15 190
R 0 2
Ab4 15 190
R 0 194
Ab4 15 190
R 0 2
G4 15 190
R 0 194
G4 15 190
R 0 2
Gb4 15 190
R 0 26114
Eb5 15 286
R 0 2
D5 15 286
R 0 2
Db5 15 190
R 0 194
E4 15 190
R 0 2
Eb4 15 190
R 0 2
D4 15 190
R 0 2
Db4 15 94
R 0 2
Eb4 15 94
R 0 2
Db4 14 94
R 0 2
Eb4 14 94
R 0 2
Db4 13 94
R 0 2
Eb4 13 94
R 0 2
Db4 12 94
R 0 2
Eb4 12 94
R 0 2
C4 14 94
R 0 2
D4 14 94
R 0 2
C4 13 94
R 0 2
D4 13 94
R 0 2
C4 12 94
R 0 2
D4 12 94
R 0 2
C4 10 94
R 0 2
D4 10 94
R 0 2
Db4 13 94
R 0 2
Eb4 13 94
R 0 2
Db4 12 94
R 0 2
Eb4 12 94
R 0 2
Db4 10 94
R 0 2
Eb4 10 94
R 0 2
Db4 9 94
R 0 2
Eb4 9 94
R 0 2
C4 12 94
R 0 2
D4 12 94
R 0 2
C4 10 94
R 0 2
D4 10 94
R 0 2
C4 9 94
R 0 2
D4 9 94
R 0 2
C4 8 94
R 0 2
D4 8 94
R 0 24578
Eb5 15 286
R 0 2
D5 15 286
R 0 2
Db5 15 190
R 0 194
E4 15 190
R 0 2
Eb4 15 190
R 0 2
D4 15 190
R 0 2
Db4 15 94
R 0 2
Eb4 15 94
R 0 2
Db4 14 94
R 0 2
Eb4 14 94
R 0 2
Db4 13 94
R 0 2
Eb4 13 94
R 0 2
Db4 12 94
R 0 2
Eb4 12 94
R 0 2
C4 14 94
R 0 2
D4 14 94
R 0 2
C4 13 94
R 0 2
D4 13 94
R 0 2
C4 12 94
R 0 2
D4 12 94
R 0 2
C4 10 94
R 0 2
D4 10 94
R 0 2
Db4 13 94
R 0 2
Eb4 13 94
R 0 2
Db4 12 94
R 0 2
Eb4 12 94
R 0 2
Db4 10 94
R 0 2
Eb4 10 94
R 0 2
Db4 9 94
R 0 2
Eb4 9 94
R 0 2
C4 12 94
R 0 2
D4 12 94
R 0 2
C4 10 94
R 0 2
D4 10 94
R 0 2
C4 9 94
R 0 2
D4 9 94
R 0 2
C4 8 94
R 0 2
D4 8 94
CMD 0 0
;Total length 77758
